"numero_ocorrencia","ano","mes","dia","rpm_2024","ueop_2024","cia_pm","pelotao","nome_municipio","nome_bairro","natureza_ocorrencia_descricao_longa","numero_envolvido","envolvimento_descricao","furto","roubo","extorsao","data_fato"
"2024-024624072-001",2024,5,30,"15 RPM","19 BPM","232 CIA PM",PM,CARAI,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-30"
"2024-024479490-001",2024,5,29,"15 RPM","19 BPM","155 CIA PM",PM,ITAMBACURI,NOSSA SENHORA DE FATIMA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-29"
"2024-024474365-001",2024,5,29,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-29"
"2024-024449073-001",2024,5,29,"15 RPM","19 BPM","42 CIA PM",PM,TEOFILO OTONI,BELA VISTA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-29"
"2024-024332041-001",2024,5,28,"15 RPM","19 BPM","232 CIA PM",PM,LADAINHA,DISTRITO DE CONCORDIA DO MUCURI,FURTO,1.0,VITIMA E PROPRIETARIO/FUNCIONARIO ESTABELECIM,1,0,0,"2024-05-28"
"2024-024332041-001",2024,5,28,"15 RPM","19 BPM","232 CIA PM",PM,LADAINHA,DISTRITO DE CONCORDIA DO MUCURI,FURTO,2.0,SOLICITANTE,0,0,0,"2024-05-28"
"2024-024310998-001",2024,5,28,"15 RPM","19 BPM","155 CIA PM",PM,ITAMBACURI,VILA FORMOSA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-28"
"2024-024307310-001",2024,5,26,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,SAO DIOGO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-26"
"2024-024251026-001",2024,5,28,"15 RPM","19 BPM","232 CIA PM",PC,NOVO CRUZEIRO,,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-28"
"2024-024237994-001",2024,5,28,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,TEOFILO ROCHA,FURTO,1.0,SOLICITANTE,1,0,0,"2024-05-28"
"2024-024222786-001",2024,5,19,"15 RPM","19 BPM","42 CIA PM",PC,TEOFILO OTONI,LOCALIDADE DA LAJINHA,ROUBO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,0,1,0,"2024-05-19"
"2024-024167076-001",2024,5,27,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,VILA BARREIROS,ROUBO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,0,1,0,"2024-05-27"
